review,rating,date,review_length,bank,source
I hate this app 😒,1,2025-05-22,17,CBE,Google Play Store
trustful,5,2025-05-22,8,CBE,Google Play Store
I like,5,2025-05-22,6,CBE,Google Play Store
update issue,4,2025-05-22,12,CBE,Google Play Store
its not working over safari network,1,2025-05-22,35,CBE,Google Play Store
oldie,1,2025-05-22,5,CBE,Google Play Store
it doesn't work,1,2025-05-21,15,CBE,Google Play Store
"This app is good, and we are using it well",1,2025-05-21,42,CBE,Google Play Store
very nice 👌 app for android phone,5,2025-05-21,33,CBE,Google Play Store
Yes Yes,5,2025-05-21,7,CBE,Google Play Store
በጣም ከርፋፋ,1,2025-05-21,8,CBE,Google Play Store
easy to use helpful in my life,5,2025-05-21,30,CBE,Google Play Store
good 👍,4,2025-05-21,6,CBE,Google Play Store
the best mobile banking app,5,2025-05-21,27,CBE,Google Play Store
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,58,CBE,Google Play Store
it's a good application 👍,5,2025-05-21,25,CBE,Google Play Store
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,101,CBE,Google Play Store
poor service,1,2025-05-21,12,CBE,Google Play Store
amazing,5,2025-05-20,7,CBE,Google Play Store
it is reliable and easy to use.,5,2025-05-20,31,CBE,Google Play Store
the most annoying mobile banking app I've ever seen,1,2025-05-20,51,CBE,Google Play Store
Cbe mobile banking,5,2025-05-20,18,CBE,Google Play Store
"i can't make Screenshout in this app, please made modification",5,2025-05-20,62,CBE,Google Play Store
Best app I loved it,5,2025-05-19,19,CBE,Google Play Store
nice app,5,2025-05-19,8,CBE,Google Play Store
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,42,CBE,Google Play Store
well satisfied with this beautiful app,5,2025-05-18,38,CBE,Google Play Store
very good,4,2025-05-17,9,CBE,Google Play Store
best app.,5,2025-05-17,9,CBE,Google Play Store
"not working,why???",5,2025-05-17,18,CBE,Google Play Store
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,62,CBE,Google Play Store
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,147,CBE,Google Play Store
woxe harimo ribiso,5,2025-05-17,18,CBE,Google Play Store
"Good ,easy to use",5,2025-05-16,17,CBE,Google Play Store
Good app,5,2025-05-15,8,CBE,Google Play Store
Good job👍,5,2025-05-14,9,CBE,Google Play Store
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,198,CBE,Google Play Store
